Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI
-28.760833,17.730278,02-01-2011,40.5,440.5,104.0,123.0,-0.43944636678170285,0.6179981634525954
-26.861111,28.884722,03-01-2011,1393.0,530.5,2594.0,2407.0,-0.301228994231244,-0.660425668106876
-26.45,28.085833,03-01-2011,1935.0,832.5,3000.0,2256.0,-0.21580547112461568,-0.5655577299412768
-27.671111,27.236944,03-01-2011,1501.0,886.0,1782.0,1303.0,-0.0855924459335947,-0.3358320839580084
-27.356667,27.286389,03-01-2011,1746.0,837.5,2451.0,1766.0,-0.1679771265189381,-0.49064923217270817
-27.01011111,26.69808333,04-01-2011,943.0,562.0,951.0,673.0,-0.004223864836325014,-0.2571050892266849
-25.127778,27.628889,04-01-2011,1754.0,810.5,3108.0,2716.5,-0.2784862196626845,-0.5863212964144293
-25.20639,27.558,04-01-2011,1731.0,808.0,2023.0,1369.0,-0.07778369738944918,-0.42917696926879445
-24.69514,27.40906,04-01-2011,1663.0,835.5,1689.0,1098.0,-0.007756563245823157,-0.3380867498514423
-26.98472222,26.63227778,04-01-2011,2077.0,1055.0,2852.0,2308.0,-0.15723270440251252,-0.45994369081135245
-28.141944,26.417778,04-01-2011,1827.0,798.0,2804.0,2335.0,-0.2109695530123038,-0.5569128262076469
-27.398611,26.614722,04-01-2011,2059.0,590.0,1871.0,1361.0,0.047837150127225246,-0.5205201137748671
-33.501667,21.624167,04-01-2011,,,,,,
-32.502778,19.535833,04-01-2011,2478.0,777.0,2408.0,1803.0,0.01432664756446962,-0.5120879120878961
-25.45963889,28.26430556,04-01-2011,122.0,1.0,255.0,207.0,-0.3527851458885006,-0.9921874999996124
-27.495556,26.074722,04-01-2011,1707.0,905.0,3384.0,2745.0,-0.32940483205656396,-0.577990207507564
-26.648056,27.089444,05-01-2011,1719.0,853.5,2769.0,1906.5,-0.23395721925133167,-0.528778467908888
-26.970278,27.211111,05-01-2011,296.5,448.0,184.0,141.0,0.23413111342346846,0.41772151898727566
-27.38972222,26.46388889,05-01-2011,36.0,197.5,442.0,302.0,-0.8493723849370608,-0.38232994526968217
-27.044444,27.005,05-01-2011,2024.0,1084.0,3427.5,2335.0,-0.25745207740988246,-0.5194502936938818
-30.830556,26.921389,06-01-2011,2143.0,746.0,2137.0,1607.0,0.0014018691588784718,-0.48248352410681644
