Latitude,Longitude,Sample Date,pet,ppt,tmax,soil,aet
-28.760833,17.730278,02-01-2011,174.2,32.7,36.1,0.0,31.1
-26.861111,28.884722,03-01-2011,124.1,51.1,27.16,12.8,53.8
-26.45,28.085833,03-01-2011,127.5,62.7,27.519999,6.8,60.8
-27.671111,27.236944,03-01-2011,129.7,84.2,28.869999,7.2000003,83.200005
-27.356667,27.286389,03-01-2011,129.2,78.0,28.67,7.8,77.3
-27.01011111,26.69808333,04-01-2011,98.6,106.0,24.18,5.9,98.6
-25.127778,27.628889,04-01-2011,105.5,135.1,27.17,24.0,105.5
-25.20639,27.558,04-01-2011,103.700005,143.4,27.0,33.600002,103.700005
-24.69514,27.40906,04-01-2011,111.8,141.1,27.74,23.6,111.8
-26.98472222,26.63227778,04-01-2011,98.200005,109.30000000000001,24.35,10.7,98.200005
-28.141944,26.417778,04-01-2011,93.8,90.9,23.88,4.8,87.700005
-27.398611,26.614722,04-01-2011,100.9,97.2,24.8,2.9,92.700005
-33.501667,21.624167,04-01-2011,100.200005,16.3,24.55,0.1,15.5
-32.502778,19.535833,04-01-2011,119.9,16.2,27.06,0.6,15.400001
-25.45963889,28.26430556,04-01-2011,103.6,141.9,26.4,32.5,103.6
-27.495556,26.074722,04-01-2011,99.700005,99.5,24.73,0.4,94.5
-26.648056,27.089444,05-01-2011,83.5,63.300000000000004,21.92,12.2,70.5
-26.970278,27.211111,05-01-2011,82.1,66.7,21.859999,14.900001,72.5
-27.38972222,26.46388889,05-01-2011,83.200005,97.4,22.81,9.7,83.200005
-27.044444,27.005,05-01-2011,82.4,74.60000000000001,21.949999,13.0,75.6
-30.830556,26.921389,06-01-2011,57.0,54.1,14.589999,8.0,53.100002
-27.00222,28.76528,06-01-2011,70.0,26.400000000000002,17.38,15.6,37.100002
-27.02314,28.59389,06-01-2011,72.4,27.0,17.869999,13.5,32.600002
-30.679722,26.7125,06-01-2011,59.8,44.900000000000006,15.74,5.1,44.4
